rf_frequency(MHz),Lock in amp mag
5e-08,1290.0
1e-07,1767.0
1.5e-07,1837.0
2e-07,1993.0
2.5e-07,1988.0
3e-07,1952.0
3.5e-07,1897.0
4e-07,1838.0
4.5e-07,1806.0
5e-07,1804.0
5.5e-07,1838.0
6e-07,1891.0
6.499999999999999e-07,1929.0
6.999999999999999e-07,1962.0
7.5e-07,1975.0
8e-07,1972.0
8.499999999999999e-07,1965.0
8.999999999999999e-07,1948.0
9.5e-07,1938.0
1e-06,1943.0
1.05e-06,1956.0
1.0999999999999998e-06,1969.0
1.15e-06,1988.0
1.2e-06,2003.0
1.2499999999999999e-06,2011.0
1.2999999999999998e-06,2017.0
