rf_frequency(MHz),Lock in amp mag
5e-08,1346.0
1e-07,1749.0
1.5e-07,1822.0
2e-07,1970.0
2.5e-07,1959.0
3e-07,1929.0
3.5e-07,1878.0
4e-07,1817.0
4.5e-07,1789.0
5e-07,1790.0
5.5e-07,1823.0
6e-07,1863.0
6.499999999999999e-07,1918.0
6.999999999999999e-07,1945.0
7.5e-07,1953.0
8e-07,1954.0
8.499999999999999e-07,1943.0
8.999999999999999e-07,1931.0
9.5e-07,1922.0
1e-06,1915.0
1.05e-06,1938.0
1.0999999999999998e-06,1953.0
1.15e-06,1967.0
1.2e-06,1984.0
1.2499999999999999e-06,1994.0
1.2999999999999998e-06,2005.0
