rf_frequency(MHz),Lock in amp mag
5e-08,1294.0
1e-07,1543.0
1.5e-07,1632.0
2e-07,1756.0
2.5e-07,1798.0
3e-07,1829.0
3.5e-07,1851.0
4e-07,1863.0
4.5e-07,1872.0
5e-07,1869.0
5.5e-07,1868.0
6e-07,1865.0
6.499999999999999e-07,1865.0
6.999999999999999e-07,1864.0
7.5e-07,1869.0
8e-07,1873.0
8.499999999999999e-07,1883.0
8.999999999999999e-07,1886.0
9.5e-07,1898.0
1e-06,1904.0
1.05e-06,1913.0
1.0999999999999998e-06,1922.0
1.15e-06,1929.0
1.2e-06,1939.0
1.2499999999999999e-06,1940.0
1.2999999999999998e-06,1944.0
