rf_frequency(MHz),Lock in amp mag
5e-08,911.0
1e-07,1272.0
1.5e-07,1405.0
2e-07,1550.0
2.5e-07,1557.0
3e-07,1521.0
3.5e-07,1456.0
4e-07,1385.0
4.5e-07,1356.0
5e-07,1351.0
5.5e-07,1386.0
6e-07,1449.0
6.499999999999999e-07,1497.0
6.999999999999999e-07,1527.0
7.5e-07,1542.0
8e-07,1541.0
8.499999999999999e-07,1527.0
8.999999999999999e-07,1515.0
9.5e-07,1495.0
1e-06,1502.0
1.05e-06,1512.0
1.0999999999999998e-06,1536.0
1.15e-06,1548.0
1.2e-06,1568.0
1.2499999999999999e-06,1582.0
1.2999999999999998e-06,1592.0
